O_id,D_id,flow
c1,c73,640
c1,c74,389
c1,c75,1727
c1,c76,2384
c1,c77,2733
c1,c78,2981
c1,c79,2618
c1,c80,935
c1,c81,563
c1,c82,997
c1,c83,2941
c1,c84,2147
c1,c85,2160
c1,a86,3
c1,a87,6
c1,a88,2
c1,c89,452
c1,c90,256
c1,a91,1
c1,c92,68
c1,c93,899
c1,a94,1
c1,c95,1487
c1,c96,2909
c1,c97,1295
c1,c98,1831
c1,c99,2430
c1,c100,2914
c1,c101,2590
c1,c102,2669
c1,c103,1871
c1,c104,1690
c1,c105,107
c1,c106,223
c1,c107,158
c1,c108,87
c1,c109,113
c1,c110,178
c1,a111,9
c1,a112,15
c1,a113,3
c1,a114,8
c1,a115,24
c1,a116,2
c1,b117,176
c1,b118,81
c1,b119,78
c1,b120,133
c1,b121,167
c1,b122,46
c1,a123,0
c1,a124,1
c1,a125,0
c1,a126,1
c1,a127,0
c1,a128,2
c1,b129,5
c1,b130,3
c1,a131,0
c1,a132,0
c1,a133,0
c1,c134,79
c1,c135,87
c1,c136,110
c1,c137,68
c1,c138,77
c1,c139,52
c1,a140,0
c1,a141,1
c1,a142,0
c1,a143,0
c1,a144,1
c1,a145,1
c1,a146,3
c1,a147,7
c1,a148,15
c1,a149,9
c1,a150,3
c1,a151,0
c1,a152,0
c1,a153,0
c1,a154,1
c1,a155,0
c1,a156,0
c1,a157,6
c1,a158,4
c1,a159,4
c1,a160,2
c1,a161,5
c1,a162,11
c1,a163,17
c1,a164,2
c1,a165,2
c1,a166,5
c1,a167,2
c1,a168,4
c1,a169,0
c1,a170,1
c1,a171,0
c1,a172,1
c1,a173,1
c1,a174,1
c1,a175,0
c1,a176,0
c1,a177,0
c1,a178,0
c1,a179,0
c1,a180,0
c1,a181,0
c1,a182,0
c1,a183,0
c1,a184,0
c1,a185,0
c1,a186,0
c1,a187,1
c1,b188,16
c1,c189,55
c1,c190,328
c1,c191,0
c1,c192,0
c1,b193,16
c1,a194,3
c1,a195,1
c2,c3,0
c2,c4,143
c2,c5,1
c2,c6,118
c2,a7,9437
c2,c8,2772
c2,c9,836
c2,c10,489
c2,c11,55
c2,c12,0
c2,c13,2356
c2,c14,904
c2,c15,149
c2,c16,9
c2,c17,29
c2,c18,813
c2,b19,29
c2,b20,33
c2,c21,272
c2,c22,165
c2,b23,115
c2,b24,498
c2,b25,250
c2,b26,427
c2,b27,102
c2,a28,1
c2,a29,0
c2,a30,1
c2,b31,245
c2,b32,59
c2,b33,30
c2,c34,1587
c2,c35,1027
c2,c36,1414
c2,c37,2276
c2,c38,2983
c2,c39,2416
c2,c40,757
c2,c41,1906
c2,c42,2420
c2,c43,2085
c2,c44,753
c2,b45,327
c2,b46,99
c2,c47,251
c2,a48,1
c2,b49,1
c2,b50,6
c2,b51,15
c2,b52,10
c2,a53,1
c2,a54,0
c2,c55,1539
c2,c56,300
c2,b57,29
c2,b58,409
c2,b59,333
c2,a60,24
c2,a61,6
c2,a62,6137
c2,a63,11
c2,b64,395
c2,b65,190
c2,b66,10
c2,b67,48
c2,c68,40
c2,b69,57
c2,b70,7
c2,c71,25
c2,c72,118
c2,c73,622
c2,c74,402
c2,c75,1610
c2,c76,2312
c2,c77,2628
c2,c78,2967
c2,c79,2516
c2,c80,1044
c2,c81,650
c2,c82,1083
c2,c83,2959
c2,c84,2121
c2,c85,2298
c2,a86,3
c2,a87,6
c2,a88,7762
c2,c89,424
c2,c90,244
c2,a91,1
c2,c92,74
c2,c93,941
c2,a94,1
c2,c95,1372
c2,c96,2830
c2,c97,1192
c2,c98,1699
c2,c99,2539
c2,c100,2902
c2,c101,2659
c2,c102,2755
c2,c103,1995
c2,c104,1876
c2,c105,102
c2,c106,212
c2,c107,151
c2,c108,83
c2,c109,106
c2,c110,167
c2,a111,10
c2,a112,17
c2,a113,3
c2,a114,10
c2,a115,29
c2,a116,2
c2,b117,199
c2,b118,90
c2,b119,87
c2,b120,155
c2,b121,190
c2,b122,49
c2,a123,0
c2,a124,1
c2,a125,0
c2,a126,1
c2,a127,6671
c2,a128,2
c2,b129,6
c2,b130,3
c2,a131,0
c2,a132,0
c2,a133,0
c2,c134,76
c2,c135,83
c2,c136,106
c2,c137,65
c2,c138,75
c2,c139,51
c2,a140,0
c2,a141,1
c2,a142,0
c2,a143,0
c2,a144,1
c2,a145,1
c2,a146,3
c2,a147,8
c2,a148,18
c2,a149,7903
c2,a150,3
c2,a151,0
c2,a152,0
c2,a153,0
c2,a154,1
c2,a155,0
c2,a156,0
c2,a157,7
c2,a158,4
c2,a159,5
c2,a160,9625
c2,a161,6
c2,a162,12
c2,a163,9838
c2,a164,2
c2,a165,2
c2,a166,5
c2,a167,2
c2,a168,5
c2,a169,0
c2,a170,1
c2,a171,0
c2,a172,1
c2,a173,1
c2,a174,1
c2,a175,0
c2,a176,10452
c2,a177,0
c2,a178,0
c2,a179,0
c2,a180,0
c2,a181,0
c2,a182,0
c2,a183,7316
c2,a184,9946
c2,a185,0
c2,a186,0
c2,a187,1
c2,b188,17
c2,c189,53
c2,c190,301
c2,c191,0
c2,c192,0
c2,b193,18
c2,a194,2
c2,a195,1
c3,c4,0
c3,c5,0
c3,c6,144
c3,a7,6087
c3,c8,2301
c3,c9,971
c3,c10,600
c3,c11,2
c3,c12,0
c3,c13,1449
c3,c14,337
c3,c15,2
c3,c16,0
c3,c17,0
c3,c18,14
c3,b19,38
c3,b20,43
c3,c21,332
c3,c22,199
c3,b23,133
c3,b24,701
c3,b25,294
c3,b26,460
c3,b27,142
c3,a28,1
c3,a29,1
c3,a30,1
c3,b31,299
c3,b32,75
c3,b33,39
c3,c34,1911
c3,c35,1255
c3,c36,1767
c3,c37,2647
c3,c38,2787
c3,c39,1497
c3,c40,110
c3,c41,1021
c3,c42,1570
c3,c43,1022
c3,c44,803
c3,b45,402
c3,b46,120
c3,c47,265
c3,a48,1
c3,b49,1
c3,b50,8
c3,b51,19
c3,b52,13
c3,a53,1
c3,a54,1
c3,c55,1921
c3,c56,387
c3,b57,44
c3,b58,566
c3,b59,476
c3,a60,35
c3,a61,9
c3,a62,11511
c3,a63,16
c3,b64,488
c3,b65,256
c3,b66,12
c3,b67,61
c3,c68,52
c3,b69,74
c3,b70,10
c3,c71,33
c3,c72,154
c3,c73,814
c3,c74,521
c3,c75,1849
c3,c76,2674
c3,c77,2827
c3,c78,2991
c3,c79,2773
c3,c80,1232
c3,c81,770
c3,c82,1305
c3,c83,2876
c3,c84,2545
c3,c85,2660
c3,a86,4
c3,a87,8
c3,a88,10554
c3,c89,529
c3,c90,314
c3,a91,1
c3,c92,95
c3,c93,1181
c3,a94,1
c3,c95,1562
c3,c96,2935
c3,c97,1366
c3,c98,1911
c3,c99,2706
c3,c100,2537
c3,c101,2538
c3,c102,2970
c3,c103,2300
c3,c104,2073
c3,c105,130
c3,c106,271
c3,c107,194
c3,c108,106
c3,c109,129
c3,c110,210
c3,a111,14
c3,a112,26
c3,a113,3
c3,a114,14
c3,a115,43
c3,a116,2
c3,b117,248
c3,b118,113
c3,b119,106
c3,b120,193
c3,b121,235
c3,b122,64
c3,a123,1
c3,a124,1
c3,a125,0
c3,a126,1
c3,a127,9242
c3,a128,3
c3,b129,8
c3,b130,4
c3,a131,0
c3,a132,0
c3,a133,0
c3,c134,98
c3,c135,106
c3,c136,137
c3,c137,84
c3,c138,98
c3,c139,66
c3,a140,0
c3,a141,1
c3,a142,0
c3,a143,0
c3,a144,2
c3,a145,1
c3,a146,3
c3,a147,10
c3,a148,25
c3,a149,9658
c3,a150,4
c3,a151,0
c3,a152,0
c3,a153,0
c3,a154,1
c3,a155,0
c3,a156,0
c3,a157,9
c3,a158,5
c3,a159,7
c3,a160,10233
c3,a161,7
c3,a162,15
c3,a163,8143
c3,a164,3
c3,a165,3
c3,a166,6
c3,a167,3
c3,a168,6
c3,a169,0
c3,a170,1
c3,a171,0
c3,a172,1
c3,a173,1
c3,a174,0
c3,a175,0
c3,a176,6728
c3,a177,0
c3,a178,0
c3,a179,0
c3,a180,0
c3,a181,0
c3,a182,0
c3,a183,11035
c3,a184,8101
c3,a185,0
c3,a186,0
c3,a187,1
c3,b188,21
c3,c189,69
c3,c190,353
c3,c191,8
c3,c192,0
c3,b193,27
c3,a194,3
c3,a195,1
c4,c5,0
c4,c6,106
c4,a7,4
c4,c8,2943
c4,c9,664
c4,c10,430
c4,c11,1666
c4,c12,404
c4,c13,1
c4,c14,0
c4,c15,2
c4,c16,257
c4,c17,0
c4,c18,0
c4,b19,43
c4,b20,46
c4,c21,236
c4,c22,143
c4,b23,24
c4,b24,786
c4,b25,194
c4,b26,86
c4,b27,243
c4,a28,4
c4,a29,3
c4,a30,4
c4,b31,458
c4,b32,96
c4,b33,45
c4,c34,1439
c4,c35,936
c4,c36,1422
c4,c37,2270
c4,c38,2935
c4,c39,2748
c4,c40,344
c4,c41,2521
c4,c42,864
c4,c43,2315
c4,c44,645
c4,b45,518
c4,b46,151
c4,c47,102
c4,a48,1
c4,b49,3
c4,b50,12
c4,b51,23
c4,b52,17
c4,a53,2
c4,a54,1
c4,c55,1772
c4,c56,347
c4,b57,101
c4,b58,714
c4,b59,631
c4,a60,77
c4,a61,22
c4,a62,33
c4,a63,46
c4,b64,765
c4,b65,383
c4,b66,40
c4,b67,79
c4,c68,63
c4,b69,92
c4,b70,12
c4,c71,34
c4,c72,164
c4,c73,697
c4,c74,514
c4,c75,1304
c4,c76,2194
c4,c77,2129
c4,c78,2667
c4,c79,2203
c4,c80,1578
c4,c81,1010
c4,c82,1522
c4,c83,2947
c4,c84,2225
c4,c85,2683
c4,a86,5
c4,a87,10
c4,a88,4
c4,c89,400
c4,c90,254
c4,a91,4
c4,c92,129
c4,c93,1153
c4,a94,4
c4,c95,1019
c4,c96,2235
c4,c97,888
c4,c98,1263
c4,c99,2614
c4,c100,2757
c4,c101,1677
c4,c102,2934
c4,c103,2346
c4,c104,2037
c4,c105,106
c4,c106,216
c4,c107,159
c4,c108,88
c4,c109,98
c4,c110,161
c4,a111,33
c4,a112,61
c4,a113,9
c4,a114,49
c4,a115,100
c4,a116,5
c4,b117,361
c4,b118,158
c4,b119,173
c4,b120,341
c4,b121,351
c4,b122,90
c4,a123,1
c4,a124,2
c4,a125,0
c4,a126,2
c4,a127,0
c4,a128,5
c4,b129,15
c4,b130,13
c4,a131,0
c4,a132,0
c4,a133,0
c4,c134,85
c4,c135,89
c4,c136,117
c4,c137,72
c4,c138,90
c4,c139,62
c4,a140,2
c4,a141,4
c4,a142,2
c4,a143,1
c4,a144,5
c4,a145,3
c4,a146,8
c4,a147,22
c4,a148,62
c4,a149,21
c4,a150,7
c4,a151,0
c4,a152,1
c4,a153,1
c4,a154,3
c4,a155,0
c4,a156,0
c4,a157,18
c4,a158,11
c4,a159,22
c4,a160,4
c4,a161,24
c4,a162,29
c4,a163,49
c4,a164,5
c4,a165,5
c4,a166,13
c4,a167,6
c4,a168,13
c4,a169,1
c4,a170,2
c4,a171,1
c4,a172,1
c4,a173,2
c4,a174,2
c4,a175,1
c4,a176,1
c4,a177,0
c4,a178,1
c4,a179,0
c4,a180,1
c4,a181,0
c4,a182,0
c4,a183,0
c4,a184,0
c4,a185,0
c4,a186,0
c4,a187,2
c4,b188,24
c4,c189,62
c4,c190,235
c4,c191,1861
c4,c192,0
c4,b193,71
c4,a194,9
c4,a195,3
c5,c6,143
c5,a7,3
c5,c8,2289
c5,c9,959
c5,c10,593
c5,c11,2
c5,c12,0
c5,c13,994
c5,c14,221
c5,c15,0
c5,c16,0
c5,c17,0
c5,c18,0
c5,b19,41
c5,b20,46
c5,c21,328
c5,c22,197
c5,b23,136
c5,b24,733
c5,b25,300
c5,b26,449
c5,b27,158
c5,a28,3
c5,a29,2
c5,a30,3
c5,b31,331
c5,b32,82
c5,b33,42
c5,c34,1896
c5,c35,1243
c5,c36,1782
c5,c37,2646
c5,c38,2752
c5,c39,1477
c5,c40,24
c5,c41,998
c5,c42,1152
c5,c43,995
c5,c44,800
c5,b45,434
c5,b46,131
c5,c47,260
c5,a48,1
c5,b49,1
c5,b50,9
c5,b51,21
c5,b52,15
c5,a53,1
c5,a54,1
c5,c55,1986
c5,c56,396
c5,b57,51
c5,b58,602
c5,b59,505
c5,a60,45
c5,a61,14
c5,a62,20
c5,a63,23
c5,b64,541
c5,b65,280
c5,b66,16
c5,b67,67
c5,c68,56
c5,b69,80
c5,b70,11
c5,c71,35
c5,c72,164
c5,c73,836
c5,c74,548
c5,c75,1827
c5,c76,2662
c5,c77,2797
c5,c78,2964
c5,c79,2743
c5,c80,1311
c5,c81,828
c5,c82,1376
c5,c83,2785
c5,c84,2571
c5,c85,2730
c5,a86,4
c5,a87,9
c5,a88,3
c5,c89,527
c5,c90,319
c5,a91,4
c5,c92,104
c5,c93,1235
c5,a94,1
c5,c95,1542
c5,c96,2904
c5,c97,1349
c5,c98,1887
c5,c99,2680
c5,c100,2354
c5,c101,2325
c5,c102,2950
c5,c103,2361
c5,c104,2119
c5,c105,132
c5,c106,274
c5,c107,197
c5,c108,108
c5,c109,128
c5,c110,210
c5,a111,21
c5,a112,33
c5,a113,8
c5,a114,18
c5,a115,51
c5,a116,5
c5,b117,273
c5,b118,124
c5,b119,117
c5,b120,218
c5,b121,261
c5,b122,69
c5,a123,1
c5,a124,2
c5,a125,0
c5,a126,2
c5,a127,0
c5,a128,3
c5,b129,9
c5,b130,5
c5,a131,0
c5,a132,0
c5,a133,0
c5,c134,100
c5,c135,108
c5,c136,141
c5,c137,86
c5,c138,102
c5,c139,68
c5,a140,2
c5,a141,3
c5,a142,2
c5,a143,1
c5,a144,4
c5,a145,2
c5,a146,7
c5,a147,16
c5,a148,31
c5,a149,15
c5,a150,5
c5,a151,0
c5,a152,1
c5,a153,1
c5,a154,2
c5,a155,0
c5,a156,0
c5,a157,12
c5,a158,9
c5,a159,10
c5,a160,4
c5,a161,10
c5,a162,18
c5,a163,28
c5,a164,4
c5,a165,4
c5,a166,8
c5,a167,5
c5,a168,7
c5,a169,1
c5,a170,2
c5,a171,1
c5,a172,1
c5,a173,2
c5,a174,2
c5,a175,1
c5,a176,0
c5,a177,0
c5,a178,1
c5,a179,0
c5,a180,1
c5,a181,0
c5,a182,0
c5,a183,0
c5,a184,0
c5,a185,0
c5,a186,0
c5,a187,2
c5,b188,23
c5,c189,72
c5,c190,349
c5,c191,11
c5,c192,60
c5,b193,33
c5,a194,7
c5,a195,2
c6,a7,0
c6,c8,602
c6,c9,2911
c6,c10,1300
c6,c11,293
c6,c12,168
c6,c13,205
c6,c14,41
c6,c15,182
c6,c16,239
c6,c17,149
c6,c18,195
c6,b19,482
c6,b20,869
c6,c21,6
c6,c22,0
c6,b23,3
c6,b24,24
c6,b25,14
c6,b26,18
c6,b27,9
c6,a28,0
c6,a29,0
c6,a30,0
c6,b31,85
c6,b32,439
c6,b33,408
c6,c34,2157
c6,c35,2858
c6,c36,2356
c6,c37,1628
c6,c38,909
c6,c39,576
c6,c40,298
c6,c41,522
c6,c42,371
c6,c43,503
c6,c44,76
c6,b45,46
c6,b46,9
c6,c47,20
c6,a48,20
c6,b49,16
c6,b50,78
c6,b51,181
c6,b52,233
c6,a53,29
c6,a54,17
c6,c55,2079
c6,c56,2243
c6,b57,1
c6,b58,30
c6,b59,17
c6,a60,2
c6,a61,1
c6,a62,1
c6,a63,1
c6,b64,78
c6,b65,22
c6,b66,5
c6,b67,239
c6,c68,293
c6,b69,330
c6,b70,125
c6,c71,439
c6,c72,886
c6,c73,2572
c6,c74,1109
c6,c75,2289
c6,c76,1564
c6,c77,907
c6,c78,898
c6,c79,1138
c6,c80,272
c6,c81,177
c6,c82,578
c6,c83,875
c6,c84,1482
c6,c85,974
c6,a86,93
c6,a87,180
c6,a88,55
c6,c89,122
c6,c90,1646
c6,a91,1
c6,c92,139
c6,c93,966
c6,a94,11
c6,c95,2221
c6,c96,1294
c6,c97,2558
c6,c98,2227
c6,c99,470
c6,c100,493
c6,c101,378
c6,c102,883
c6,c103,561
c6,c104,346
c6,c105,192
c6,c106,200
c6,c107,1755
c6,c108,280
c6,c109,0
c6,c110,0
c6,a111,2
c6,a112,2
c6,a113,1
c6,a114,1
c6,a115,2
c6,a116,1
c6,b117,182
c6,b118,130
c6,b119,41
c6,b120,101
c6,b121,132
c6,b122,184
c6,a123,20
c6,a124,20
c6,a125,9
c6,a126,34
c6,a127,11
c6,a128,48
c6,b129,26
c6,b130,8
c6,a131,5
c6,a132,3
c6,a133,3
c6,c134,2270
c6,c135,1962
c6,c136,2069
c6,c137,2348
c6,c138,1722
c6,c139,2023
c6,a140,1
c6,a141,4
c6,a142,1
c6,a143,1
c6,a144,1
c6,a145,1
c6,a146,2
c6,a147,3
c6,a148,6
c6,a149,71
c6,a150,33
c6,a151,2
c6,a152,2
c6,a153,11
c6,a154,13
c6,a155,7
c6,a156,7
c6,a157,11
c6,a158,3
c6,a159,3
c6,a160,3
c6,a161,4
c6,a162,22
c6,a163,22
c6,a164,11
c6,a165,16
c6,a166,14
c6,a167,7
c6,a168,15
c6,a169,2
c6,a170,3
c6,a171,5
c6,a172,9
c6,a173,7
c6,a174,5
c6,a175,3
c6,a176,3
c6,a177,3
c6,a178,4
c6,a179,3
c6,a180,4
c6,a181,4
c6,a182,3
c6,a183,3
c6,a184,6
c6,a185,6
c6,a186,6
c6,a187,36
c6,b188,648
c6,c189,2238
c6,c190,0
c6,c191,191
c6,c192,95
c6,b193,0
c6,a194,0
c6,a195,0
a7,c8,1
a7,c9,0
a7,c10,6144
a7,c11,0
a7,c12,1
a7,c13,7842
a7,c14,18
a7,c15,3
a7,c16,9291
a7,c17,5
a7,c18,6
a7,b19,26
a7,b20,22
a7,c21,8929
a7,c22,0
a7,b23,26
a7,b24,545
a7,b25,65
a7,b26,76
a7,b27,410
a7,a28,1
a7,a29,0
a7,a30,0
a7,b31,166
a7,b32,108
a7,b33,41
a7,c34,1
a7,c35,0
a7,c36,1
a7,c37,1
a7,c38,1
a7,c39,1
a7,c40,2
a7,c41,1
a7,c42,3
a7,c43,2
a7,c44,7469
a7,b45,121
a7,b46,27
a7,c47,11
a7,a48,141
a7,b49,13
a7,b50,30
a7,b51,34
a7,b52,46
a7,a53,143
a7,a54,164
a7,c55,4
a7,c56,3
a7,b57,309
a7,b58,903
a7,b59,811
a7,a60,556
a7,a61,0
a7,a62,157
a7,a63,601
a7,b64,740
a7,b65,482
a7,b66,88
a7,b67,154
a7,c68,6
a7,b69,26
a7,b70,2
a7,c71,2
a7,c72,8
a7,c73,3
a7,c74,4
a7,c75,0
a7,c76,1
a7,c77,8497
a7,c78,0
a7,c79,0
a7,c80,9325
a7,c81,56
a7,c82,13
a7,c83,2
a7,c84,2
a7,c85,4
a7,a86,104
a7,a87,95
a7,a88,107
a7,c89,0
a7,c90,1
a7,a91,0
a7,c92,5
a7,c93,22
a7,a94,26
a7,c95,0
a7,c96,0
a7,c97,0
a7,c98,0
a7,c99,20
a7,c100,10067
a7,c101,16
a7,c102,2
a7,c103,16
a7,c104,58
a7,c105,1
a7,c106,0
a7,c107,1
a7,c108,2
a7,c109,1
a7,c110,0
a7,a111,910
a7,a112,814
a7,a113,0
a7,a114,180
a7,a115,558
a7,a116,376
a7,b117,227
a7,b118,38
a7,b119,12
a7,b120,347
a7,b121,391
a7,b122,99
a7,a123,264
a7,a124,298
a7,a125,333
a7,a126,168
a7,a127,249
a7,a128,88
a7,b129,108
a7,b130,58
a7,a131,193
a7,a132,318
a7,a133,317
a7,c134,5
a7,c135,3
a7,c136,3
a7,c137,4
a7,c138,6
a7,c139,12
a7,a140,2978
a7,a141,2501
a7,a142,2973
a7,a143,2662
a7,a144,1502
a7,a145,1140
a7,a146,1547
a7,a147,1056
a7,a148,605
a7,a149,335
a7,a150,293
a7,a151,828
a7,a152,1656
a7,a153,485
a7,a154,810
a7,a155,236
a7,a156,199
a7,a157,2368
a7,a158,2738
a7,a159,703
a7,a160,2965
a7,a161,232
a7,a162,717
a7,a163,382
a7,a164,1109
a7,a165,761
a7,a166,1192
a7,a167,1905
a7,a168,417
a7,a169,1528
a7,a170,2233
a7,a171,940
a7,a172,587
a7,a173,912
a7,a174,1609
a7,a175,793
a7,a176,755
a7,a177,634
a7,a178,800
a7,a179,971
a7,a180,1268
a7,a181,341
a7,a182,455
a7,a183,302
a7,a184,254
a7,a185,442
a7,a186,304
a7,a187,104
a7,b188,53
a7,c189,6
a7,c190,0
a7,c191,1
a7,c192,0
a7,b193,143
a7,a194,0
a7,a195,4
c8,c9,2874
c8,c10,2213
c8,c11,19
c8,c12,1630
c8,c13,2475
c8,c14,958
c8,c15,1815
c8,c16,408
c8,c17,2322
c8,c18,2600
c8,b19,122
c8,b20,144
c8,c21,1358
c8,c22,837
c8,b23,69
c8,b24,381
c8,b25,214
c8,b26,364
c8,b27,99
c8,a28,1
c8,a29,0
c8,a30,1
c8,b31,364
c8,b32,206
c8,b33,124
c8,c34,1952
c8,c35,2963
c8,c36,2512
c8,c37,341
c8,c38,0
c8,c39,0
c8,c40,79
c8,c41,0
c8,c42,650
c8,c43,0
c8,c44,790
c8,b45,375
c8,b46,106
c8,c47,260
c8,a48,3
c8,b49,4
c8,b50,25
c8,b51,58
c8,b52,43
c8,a53,4
c8,a54,3
c8,c55,2648
c8,c56,1430
c8,b57,20
c8,b58,350
c8,b59,259
c8,a60,18
c8,a61,5
c8,a62,7
c8,a63,8
c8,b64,563
c8,b65,196
c8,b66,17
c8,b67,167
c8,c68,157
c8,b69,206
c8,b70,36
c8,c71,117
c8,c72,473
c8,c73,2338
c8,c74,1373
c8,c75,2111
c8,c76,260
c8,c77,21
c8,c78,0
c8,c79,50
c8,c80,1598
c8,c81,980
c8,c82,1627
c8,c83,212
c8,c84,1225
c8,c85,1997
c8,a86,12
c8,a87,25
c8,a88,9
c8,c89,1996
c8,c90,1197
c8,a91,2
c8,c92,226
c8,c93,1912
c8,a94,3
c8,c95,2681
c8,c96,0
c8,c97,2912
c8,c98,1952
c8,c99,1973
c8,c100,455
c8,c101,1852
c8,c102,1099
c8,c103,2176
c8,c104,2152
c8,c105,518
c8,c106,1074
c8,c107,765
c8,c108,416
c8,c109,538
c8,c110,861
c8,a111,11
c8,a112,15
c8,a113,3
c8,a114,10
c8,a115,24
c8,a116,2
c8,b117,465
c8,b118,221
c8,b119,157
c8,b120,336
c8,b121,430
c8,b122,174
c8,a123,3
c8,a124,4
c8,a125,1
c8,a126,5
c8,a127,1
c8,a128,9
c8,b129,19
c8,b130,9
c8,a131,0
c8,a132,0
c8,a133,0
c8,c134,375
c8,c135,416
c8,c136,527
c8,c137,322
c8,c138,358
c8,c139,243
c8,a140,1
c8,a141,3
c8,a142,1
c8,a143,1
c8,a144,2
c8,a145,1
c8,a146,4
c8,a147,10
c8,a148,28
c8,a149,34
c8,a150,13
c8,a151,1
c8,a152,0
c8,a153,2
c8,a154,4
c8,a155,1
c8,a156,1
c8,a157,16
c8,a158,7
c8,a159,10
c8,a160,3
c8,a161,11
c8,a162,31
c8,a163,42
c8,a164,7
c8,a165,8
c8,a166,14
c8,a167,6
c8,a168,12
c8,a169,1
c8,a170,2
c8,a171,2
c8,a172,2
c8,a173,2
c8,a174,2
c8,a175,1
c8,a176,1
c8,a177,0
c8,a178,1
c8,a179,1
c8,a180,1
c8,a181,0
c8,a182,0
c8,a183,0
c8,a184,1
c8,a185,1
c8,a186,0
c8,a187,5
