O_id,D_id,flow
a2,a8,37
a2,a9,86
a2,a10,15
a2,a11,35
a2,a12,27
a2,a13,14
a2,a14,2069
a2,a15,2145
a2,a16,0
a2,a17,45
a2,a18,34
a2,a19,142
a2,a20,6
a2,a21,0
a2,a22,0
a2,a23,35
a2,a24,1
a2,a25,1
a2,a26,1
a2,a27,15
a2,a28,10
a2,a29,70
a2,a30,4
a2,a31,5
a2,a32,4
a2,a33,3
a2,a34,232
a2,a35,130
a2,a36,146
a2,a37,27
a2,a38,102
a2,a39,50
a2,a40,4
a2,a41,3
a2,a42,2
a2,a43,3
a2,a44,8
a2,a45,7
a2,a46,3
a2,a47,442
a2,a48,335
a2,a49,472
a2,a50,0
a2,a51,0
a2,a52,95
a2,a53,186
a2,a54,139
a2,a55,84
a2,a56,44
a2,a57,59
a2,a58,846
a2,a59,796
a2,a60,1068
a2,a61,1387
a2,a62,339
a2,a63,17
a2,a64,12
a2,a65,9
a2,a66,13
a2,a67,7
a2,a68,7
a2,a69,2
a2,a70,1767
a2,a71,177
a2,a72,0
a2,a73,1110
a2,a74,1999
a2,a75,200
a2,a76,766
a2,a77,150
a2,a78,466
a2,a79,849
a2,a80,8
a2,a81,18
a2,a82,31
a2,a83,9
a2,a84,39
a2,a85,74
a2,a86,69
a2,a87,21
a2,a88,29
a2,a89,51
a2,a90,14
a2,a91,17
a2,a92,20
a2,a93,12
a2,a94,10
a2,a95,95
a2,a96,47
a2,a97,29
a2,a98,103
a2,a99,7
a2,a100,6
a2,a101,11
a2,a102,11
a2,a103,10
a2,a104,15
a2,a105,15
a2,a106,20
a2,a107,10
a2,a108,11
a2,a109,16
a2,a110,730
a2,a111,267
a2,a112,33
a2,a113,3
a2,a114,6
a2,a115,18
a2,a116,18
a2,a117,18
a2,a118,73
a2,a119,209
a2,a120,28
a2,a121,53
a2,a122,208
a2,a123,2024
a2,a124,1922
a2,a125,88
a2,a126,2361
a2,a127,837
a2,a128,2279
a2,a129,2347
a2,a130,2107
a2,a131,1575
a2,a132,2240
a2,a133,1969
a2,a134,896
a2,a135,515
a2,a136,1657
a2,a137,1296
a2,a138,364
a2,a139,1393
a2,a140,2023
a2,a141,2103
a2,a142,1372
a2,a143,1159
a2,a144,1022
a2,a145,1560
a2,a146,1686
a2,a147,54
a2,a148,379
a2,a149,614
a2,a150,981
a2,a151,19
a2,a152,32
a2,a153,15
a2,a154,27
a2,a155,16
a2,a156,2
a2,a157,4
a2,a158,4
a2,a159,3
a2,a160,3
a2,a161,4
a2,a162,2
a2,a163,1
a2,a164,11
a2,a165,12
a2,a166,13
a2,a167,11
a2,a168,11
a2,a169,1185
a2,a170,1717
a2,a171,1364
a2,a172,18
a2,a173,567
a2,a174,1127
a2,a175,982
a2,a176,934
a2,a177,1478
a2,a178,210
a2,a179,1302
a2,a180,1132
a2,a181,123
a2,a182,1889
a2,a183,0
a2,a184,915
a2,a185,23
a2,a186,3
a2,a187,2
a2,a188,3
a2,a189,12
a2,a190,41
a2,a191,2482
a3,a4,1300
a3,a5,1448
a3,a6,440
a3,a7,58
a3,a8,241
a3,a9,179
a3,a10,224
a3,a11,189
a3,a12,101
a3,a13,226
a3,a14,1
a3,a15,1
a3,a16,3
a3,a17,58
a3,a18,23
a3,a19,87
a3,a20,5
a3,a21,7
a3,a22,4
a3,a23,6
a3,a24,880
a3,a25,1422
a3,a26,1186
a3,a27,402
a3,a28,721
a3,a29,435
a3,a30,3
a3,a31,0
a3,a32,196
a3,a33,0
a3,a34,550
a3,a35,566
a3,a36,377
a3,a37,125
a3,a38,106
a3,a39,79
a3,a40,561
a3,a41,1605
a3,a42,1463
a3,a43,722
a3,a44,979
a3,a45,39
a3,a46,273
a3,a47,261
a3,a48,286
a3,a49,288
a3,a50,8
a3,a51,5
a3,a52,701
a3,a53,601
a3,a54,479
a3,a55,810
a3,a56,569
a3,a57,764
a3,a58,12
a3,a59,33
a3,a60,29
a3,a61,18
a3,a62,53
a3,a63,11
a3,a64,103
a3,a65,74
a3,a66,170
a3,a67,141
a3,a68,332
a3,a69,1
a3,a70,1
a3,a71,3
a3,a72,2
a3,a73,1
a3,a74,2
a3,a75,3
a3,a76,32
a3,a77,33
a3,a78,56
a3,a79,44
a3,a80,1056
a3,a81,739
a3,a82,991
a3,a83,1115
a3,a84,1088
a3,a85,1010
a3,a86,829
a3,a87,1291
a3,a88,1189
a3,a89,1157
a3,a90,1488
a3,a91,405
a3,a92,659
a3,a93,755
a3,a94,405
a3,a95,220
a3,a96,363
a3,a97,252
a3,a98,123
a3,a99,0
a3,a100,0
a3,a101,228
a3,a102,391
a3,a103,488
a3,a104,935
a3,a105,46
a3,a106,985
a3,a107,41
a3,a108,1071
a3,a109,1289
a3,a110,197
a3,a111,228
a3,a112,996
a3,a113,291
a3,a114,200
a3,a115,28
a3,a116,15
a3,a117,88
a3,a118,10
a3,a119,10
a3,a120,12
a3,a121,16
a3,a122,17
a3,a123,3
a3,a124,5
a3,a125,5
a3,a126,5
a3,a127,3
a3,a128,3
a3,a129,3
a3,a130,6
a3,a131,6
a3,a132,9
a3,a133,9
a3,a134,11
a3,a135,20
a3,a136,13
a3,a137,8
a3,a138,11
a3,a139,86
a3,a140,33
a3,a141,16
a3,a142,28
a3,a143,56
a3,a144,101
a3,a145,18
a3,a146,49
a3,a147,10
a3,a148,119
a3,a149,57
a3,a150,48
a3,a151,921
a3,a152,800
a3,a153,924
a3,a154,977
a3,a155,796
a3,a156,798
a3,a157,764
a3,a158,1124
a3,a159,487
a3,a160,319
a3,a161,338
a3,a162,568
a3,a163,874
a3,a164,24
a3,a165,29
a3,a166,41
a3,a167,16
a3,a168,15
a3,a169,103
a3,a170,43
a3,a171,92
a3,a172,13
a3,a173,19
a3,a174,40
a3,a175,67
a3,a176,111
a3,a177,41
a3,a178,21
a3,a179,30
a3,a180,20
a3,a181,12
a3,a182,1
a3,a183,2
a3,a184,22
a3,a185,221
a3,a186,0
a3,a187,505
a3,a188,195
a3,a189,21
a3,a190,8
a3,a191,1
a4,a5,699
a4,a6,630
a4,a7,20
a4,a8,1321
a4,a9,911
a4,a10,1646
a4,a11,1168
a4,a12,792
a4,a13,1646
a4,a14,4
a4,a15,4
a4,a16,7
a4,a17,355
a4,a18,106
a4,a19,549
a4,a20,13
a4,a21,16
a4,a22,11
a4,a23,14
a4,a24,1170
a4,a25,33
a4,a26,1425
a4,a27,1450
a4,a28,228
a4,a29,718
a4,a30,1924
a4,a31,1808
a4,a32,1950
a4,a33,1301
a4,a34,554
a4,a35,450
a4,a36,307
a4,a37,20
a4,a38,28
a4,a39,20
a4,a40,388
a4,a41,0
a4,a42,777
a4,a43,1895
a4,a44,201
a4,a45,1440
a4,a46,1986
a4,a47,868
a4,a48,708
a4,a49,449
a4,a50,21
a4,a51,12
a4,a52,1
a4,a53,239
a4,a54,183
a4,a55,0
a4,a56,213
a4,a57,498
a4,a58,30
a4,a59,30
a4,a60,36
a4,a61,31
a4,a62,33
a4,a63,44
a4,a64,898
a4,a65,739
a4,a66,1428
a4,a67,1369
a4,a68,1883
a4,a69,5
a4,a70,5
a4,a71,7
a4,a72,6
a4,a73,4
a4,a74,6
a4,a75,7
a4,a76,238
a4,a77,212
a4,a78,422
a4,a79,322
a4,a80,0
a4,a81,97
a4,a82,0
a4,a83,0
a4,a84,636
a4,a85,361
a4,a86,590
a4,a87,33
a4,a88,243
a4,a89,0
a4,a90,0
a4,a91,49
a4,a92,133
a4,a93,98
a4,a94,42
a4,a95,74
a4,a96,126
a4,a97,49
a4,a98,42
a4,a99,895
a4,a100,1489
a4,a101,844
a4,a102,538
a4,a103,369
a4,a104,991
a4,a105,1280
a4,a106,850
a4,a107,1353
a4,a108,268
a4,a109,75
a4,a110,606
a4,a111,188
a4,a112,705
a4,a113,2201
a4,a114,1772
a4,a115,134
a4,a116,58
a4,a117,684
a4,a118,54
a4,a119,61
a4,a120,52
a4,a121,78
a4,a122,106
a4,a123,18
a4,a124,27
a4,a125,13
a4,a126,19
a4,a127,9
a4,a128,9
a4,a129,16
a4,a130,30
a4,a131,17
a4,a132,46
a4,a133,33
a4,a134,72
a4,a135,133
a4,a136,83
a4,a137,46
a4,a138,72
a4,a139,353
a4,a140,173
a4,a141,84
a4,a142,189
a4,a143,389
a4,a144,582
a4,a145,72
a4,a146,242
a4,a147,27
a4,a148,98
a4,a149,66
a4,a150,65
a4,a151,373
a4,a152,377
a4,a153,257
a4,a154,655
a4,a155,809
a4,a156,414
a4,a157,432
a4,a158,0
a4,a159,2275
a4,a160,2276
a4,a161,2138
a4,a162,1740
a4,a163,305
a4,a164,174
a4,a165,157
a4,a166,331
a4,a167,82
a4,a168,83
a4,a169,248
a4,a170,164
a4,a171,267
a4,a172,37
a4,a173,63
a4,a174,85
a4,a175,95
a4,a176,192
a4,a177,122
a4,a178,68
a4,a179,50
a4,a180,41
a4,a181,28
a4,a182,3
a4,a183,5
a4,a184,20
a4,a185,24
a4,a186,1410
a4,a187,2386
a4,a188,1790
a4,a189,141
a4,a190,38
a4,a191,6
a5,a6,614
a5,a7,4
a5,a8,1364
a5,a9,813
a5,a10,1633
a5,a11,1084
a5,a12,650
a5,a13,1643
a5,a14,1
a5,a15,1
a5,a16,1
a5,a17,224
a5,a18,52
a5,a19,321
a5,a20,3
a5,a21,3
a5,a22,2
a5,a23,3
a5,a24,78
a5,a25,0
a5,a26,0
a5,a27,2150
a5,a28,2158
a5,a29,1844
a5,a30,1873
a5,a31,1791
a5,a32,1859
a5,a33,1592
a5,a34,592
a5,a35,406
a5,a36,104
a5,a37,4
a5,a38,6
a5,a39,4
a5,a40,48
a5,a41,0
a5,a42,0
a5,a43,495
a5,a44,264
a5,a45,1524
a5,a46,1165
a5,a47,764
a5,a48,367
a5,a49,172
a5,a50,4
a5,a51,2
a5,a52,1741
a5,a53,969
a5,a54,1494
a5,a55,1769
a5,a56,79
a5,a57,375
a5,a58,6
a5,a59,7
a5,a60,8
a5,a61,7
a5,a62,7
a5,a63,25
a5,a64,820
a5,a65,670
a5,a66,1330
a5,a67,1322
a5,a68,2153
a5,a69,1
a5,a70,1
a5,a71,1
a5,a72,1
a5,a73,1
a5,a74,1
a5,a75,1
a5,a76,98
a5,a77,100
a5,a78,188
a5,a79,120
a5,a80,845
a5,a81,2071
a5,a82,1979
a5,a83,738
a5,a84,1090
a5,a85,1210
a5,a86,582
a5,a87,1771
a5,a88,1561
a5,a89,1720
a5,a90,395
a5,a91,10
a5,a92,43
a5,a93,33
a5,a94,10
a5,a95,16
a5,a96,33
a5,a97,10
a5,a98,8
a5,a99,864
a5,a100,1539
a5,a101,687
a5,a102,379
a5,a103,246
a5,a104,1679
a5,a105,1317
a5,a106,1443
a5,a107,1574
a5,a108,1585
a5,a109,1551
a5,a110,267
a5,a111,50
a5,a112,678
a5,a113,2287
a5,a114,1843
a5,a115,83
a5,a116,32
a5,a117,558
a5,a118,24
a5,a119,24
a5,a120,24
a5,a121,33
a5,a122,46
a5,a123,5
a5,a124,9
a5,a125,2
a5,a126,4
a5,a127,1
a5,a128,2
a5,a129,4
a5,a130,9
a5,a131,3
a5,a132,13
a5,a133,8
a5,a134,25
a5,a135,52
a5,a136,27
a5,a137,15
a5,a138,28
a5,a139,111
a5,a140,52
a5,a141,24
a5,a142,65
a5,a143,150
a5,a144,263
a5,a145,18
a5,a146,72
a5,a147,5
a5,a148,22
a5,a149,14
a5,a150,15
a5,a151,191
a5,a152,202
a5,a153,139
a5,a154,465
a5,a155,681
a5,a156,1166
a5,a157,1377
a5,a158,406
a5,a159,1876
a5,a160,2305
a5,a161,2282
a5,a162,1816
a5,a163,327
a5,a164,125
a5,a165,106
a5,a166,256
a5,a167,55
a5,a168,62
a5,a169,66
a5,a170,42
a5,a171,73
a5,a172,8
a5,a173,14
a5,a174,19
a5,a175,22
a5,a176,49
a5,a177,29
a5,a178,15
a5,a179,11
a5,a180,9
a5,a181,6
a5,a182,1
a5,a183,1
a5,a184,4
a5,a185,5
a5,a186,1682
a5,a187,1653
a5,a188,1936
a5,a189,137
a5,a190,21
a5,a191,1
a6,a7,330
a6,a8,735
a6,a9,352
a6,a10,671
a6,a11,709
a6,a12,602
a6,a13,606
a6,a14,62
a6,a15,75
a6,a16,248
a6,a17,590
a6,a18,472
a6,a19,564
a6,a20,216
a6,a21,271
a6,a22,226
a6,a23,228
a6,a24,531
a6,a25,728
a6,a26,490
a6,a27,837
a6,a28,902
a6,a29,321
a6,a30,532
a6,a31,605
a6,a32,527
a6,a33,353
a6,a34,0
a6,a35,1
a6,a36,211
a6,a37,419
a6,a38,532
a6,a39,363
a6,a40,801
a6,a41,903
a6,a42,665
a6,a43,536
a6,a44,898
a6,a45,799
a6,a46,543
a6,a47,0
a6,a48,0
a6,a49,8
a6,a50,391
a6,a51,375
a6,a52,0
a6,a53,0
a6,a54,0
a6,a55,3
a6,a56,547
a6,a57,14
a6,a58,353
a6,a59,387
a6,a60,435
a6,a61,353
a6,a62,470
a6,a63,248
a6,a64,434
a6,a65,288
a6,a66,547
a6,a67,362
a6,a68,635
a6,a69,132
a6,a70,124
a6,a71,228
a6,a72,219
a6,a73,90
a6,a74,134
a6,a75,250
a6,a76,624
a6,a77,597
a6,a78,527
a6,a79,600
a6,a80,892
a6,a81,755
a6,a82,445
a6,a83,746
a6,a84,339
a6,a85,0
a6,a86,4
a6,a87,562
a6,a88,426
a6,a89,0
a6,a90,641
a6,a91,820
a6,a92,847
a6,a93,839
a6,a94,621
a6,a95,892
a6,a96,681
a6,a97,845
a6,a98,731
a6,a99,596
a6,a100,624
a6,a101,783
a6,a102,751
a6,a103,711
a6,a104,844
a6,a105,873
a6,a106,760
a6,a107,871
a6,a108,880
a6,a109,780
a6,a110,0
a6,a111,454
a6,a112,437
a6,a113,316
a6,a114,387
a6,a115,402
a6,a116,303
a6,a117,483
a6,a118,301
a6,a119,323
a6,a120,284
a6,a121,401
a6,a122,422
a6,a123,215
a6,a124,257
a6,a125,421
a6,a126,358
a6,a127,307
a6,a128,217
a6,a129,219
a6,a130,310
a6,a131,456
a6,a132,487
a6,a133,530
a6,a134,416
a6,a135,528
a6,a136,529
a6,a137,339
a6,a138,345
a6,a139,167
a6,a140,481
a6,a141,612
a6,a142,629
a6,a143,475
a6,a144,35
a6,a145,621
a6,a146,317
a6,a147,545
a6,a148,852
a6,a149,693
a6,a150,643
a6,a151,864
a6,a152,724
a6,a153,837
a6,a154,783
a6,a155,872
a6,a156,705
a6,a157,807
a6,a158,926
a6,a159,516
a6,a160,387
a6,a161,527
a6,a162,555
a6,a163,691
a6,a164,250
a6,a165,346
a6,a166,345
a6,a167,216
a6,a168,175
a6,a169,450
a6,a170,603
a6,a171,400
a6,a172,552
a6,a173,629
a6,a174,683
a6,a175,762
a6,a176,604
a6,a177,691
a6,a178,627
a6,a179,524
a6,a180,464
a6,a181,415
a6,a182,59
a6,a183,129
a6,a184,270
a6,a185,449
a6,a186,438
a6,a187,397
a6,a188,290
a6,a189,151
a6,a190,190
a6,a191,115
a7,a8,10
a7,a9,21
a7,a10,4
a7,a11,6
a7,a12,4
a7,a13,3
a7,a14,16
a7,a15,15
a7,a16,49
a7,a17,5
a7,a18,3
a7,a19,13
a7,a20,271
a7,a21,323
a7,a22,161
a7,a23,345
a7,a24,2
a7,a25,3
a7,a26,2
a7,a27,6
a7,a28,6
a7,a29,23
a7,a30,29
a7,a31,49
a7,a32,27
a7,a33,36
a7,a34,642
a7,a35,1133
a7,a36,1877
a7,a37,18
a7,a38,0
a7,a39,0
a7,a40,21
a7,a41,7
a7,a42,7
a7,a43,12
a7,a44,31
a7,a45,40
a7,a46,20
a7,a47,139
a7,a48,545
a7,a49,1196
a7,a50,174
a7,a51,80
a7,a52,87
a7,a53,251
a7,a54,93
a7,a55,113
a7,a56,2082
a7,a57,1022
a7,a58,694
a7,a59,489
a7,a60,1036
a7,a61,1058
a7,a62,0
a7,a63,1
a7,a64,2
a7,a65,1
a7,a66,3
a7,a67,2
a7,a68,3
a7,a69,34
a7,a70,18
a7,a71,32
a7,a72,33
a7,a73,20
a7,a74,17
a7,a75,32
a7,a76,19
a7,a77,9
a7,a78,31
a7,a79,34
a7,a80,11
a7,a81,12
a7,a82,27
a7,a83,16
a7,a84,346
a7,a85,337
a7,a86,603
a7,a87,93
a7,a88,174
a7,a89,181
a7,a90,29
a7,a91,1670
a7,a92,2435
a7,a93,2205
a7,a94,2531
a7,a95,1341
a7,a96,2504
a7,a97,405
a7,a98,255
a7,a99,184
a7,a100,105
a7,a101,340
a7,a102,517
a7,a103,626
a7,a104,112
a7,a105,215
a7,a106,215
a7,a107,93
a7,a108,56
a7,a109,76
a7,a110,632
a7,a111,2131
a7,a112,639
a7,a113,1
a7,a114,2
a7,a115,2
a7,a116,1
a7,a117,3
a7,a118,2
a7,a119,4
a7,a120,2
a7,a121,3
a7,a122,5
a7,a123,11
a7,a124,11
a7,a125,48
a7,a126,21
a7,a127,28
a7,a128,17
a7,a129,12
a7,a130,15
a7,a131,40
a7,a132,24
a7,a133,45
a7,a134,10
a7,a135,11
a7,a136,22
a7,a137,11
a7,a138,6
a7,a139,427
a7,a140,75
a7,a141,51
a7,a142,38
a7,a143,68
a7,a144,141
a7,a145,116
a7,a146,180
a7,a147,83
a7,a148,534
a7,a149,624
a7,a150,1385
a7,a151,1116
a7,a152,1256
a7,a153,1256
a7,a154,715
a7,a155,544
a7,a156,3
a7,a157,3
a7,a158,5
a7,a159,2
a7,a160,2
a7,a161,2
a7,a162,2
a7,a163,3
a7,a164,1
a7,a165,1
a7,a166,2
a7,a167,1
a7,a168,1
a7,a169,927
a7,a170,335
a7,a171,608
a7,a172,171
a7,a173,202
a7,a174,921
a7,a175,1486
a7,a176,1489
a7,a177,635
a7,a178,376
a7,a179,1170
a7,a180,853
a7,a181,366
a7,a182,18
a7,a183,50
a7,a184,408
a7,a185,0
a7,a186,66
a7,a187,1
a7,a188,1
a7,a189,0
a7,a190,1
a7,a191,12
a8,a9,0
a8,a10,8
a8,a11,0
a8,a12,0
a8,a13,88
a8,a14,20
a8,a15,23
a8,a16,38
a8,a17,0
a8,a18,480
a8,a19,0
a8,a20,31
a8,a21,36
a8,a22,33
a8,a23,31
a8,a24,1494
a8,a25,1332
a8,a26,1466
a8,a27,0
a8,a28,0
a8,a29,0
a8,a30,463
a8,a31,428
a8,a32,478
a8,a33,229
a8,a34,604
a8,a35,391
a8,a36,166
a8,a37,9
a8,a38,14
a8,a39,9
a8,a40,1133
a8,a41,1368
a8,a42,1288
a8,a43,810
a8,a44,1160
a8,a45,753
a8,a46,668
a8,a47,131
a8,a48,648
a8,a49,310
a8,a50,57
a8,a51,54
a8,a52,561
a8,a53,791
a8,a54,125
a8,a55,978
a8,a56,93
a8,a57,354
a8,a58,46
a8,a59,24
a8,a60,33
a8,a61,35
a8,a62,22
a8,a63,1237
a8,a64,459
a8,a65,1166
a8,a66,180
a8,a67,1059
a8,a68,202
a8,a69,29
a8,a70,32
a8,a71,37
a8,a72,35
a8,a73,24
a8,a74,38
a8,a75,43
a8,a76,689
a8,a77,330
a8,a78,540
a8,a79,759
a8,a80,627
a8,a81,4
a8,a82,120
a8,a83,1123
a8,a84,588
a8,a85,751
a8,a86,474
a8,a87,1098
a8,a88,861
a8,a89,1060
a8,a90,1368
a8,a91,18
a8,a92,49
a8,a93,29
a8,a94,13
a8,a95,36
a8,a96,58
a8,a97,21
a8,a98,23
a8,a99,176
a8,a100,335
a8,a101,194
a8,a102,118
a8,a103,80
a8,a104,732
a8,a105,406
a8,a106,637
a8,a107,668
a8,a108,1065
a8,a109,1106
a8,a110,581
a8,a111,115
a8,a112,360
a8,a113,1423
a8,a114,1110
a8,a115,357
a8,a116,1046
a8,a117,127
a8,a118,1192
a8,a119,1039
a8,a120,1209
a8,a121,1051
a8,a122,1047
a8,a123,175
a8,a124,263
a8,a125,69
a8,a126,127
a8,a127,65
a8,a128,75
a8,a129,130
a8,a130,255
a8,a131,88
a8,a132,278
a8,a133,182
a8,a134,743
a8,a135,940
a8,a136,536
a8,a137,473
a8,a138,932
a8,a139,451
a8,a140,410
a8,a141,332
a8,a142,628
a8,a143,614
a8,a144,536
a8,a145,207
a8,a146,406
a8,a147,112
a8,a148,66
a8,a149,51
a8,a150,55
a8,a151,113
a8,a152,134
a8,a153,63
a8,a154,206
a8,a155,252
a8,a156,835
a8,a157,84
a8,a158,472
a8,a159,1019
a8,a160,1358
a8,a161,826
a8,a162,924
a8,a163,1204
a8,a164,1109
a8,a165,540
a8,a166,657
a8,a167,1221
a8,a168,1228
a8,a169,220
a8,a170,260
a8,a171,269
a8,a172,87
a8,a173,138
a8,a174,98
a8,a175,85
a8,a176,152
a8,a177,162
a8,a178,120
a8,a179,54
a8,a180,59
a8,a181,62
a8,a182,18
a8,a183,23
a8,a184,20
a8,a185,8
a8,a186,270
a8,a187,1458
a8,a188,1384
a8,a189,1193
a8,a190,1131
a8,a191,44
a9,a10,113
a9,a11,0
a9,a12,0
a9,a13,156
a9,a14,40
a9,a15,47
a9,a16,95
a9,a17,0
a9,a18,316
a9,a19,0
a9,a20,66
a9,a21,77
a9,a22,73
a9,a23,65
a9,a24,966
a9,a25,1018
a9,a26,856
a9,a27,17
a9,a28,57
a9,a29,0
a9,a30,307
a9,a31,289
a9,a32,316
a9,a33,154
a9,a34,563
a9,a35,415
a9,a36,243
a9,a37,19
a9,a38,30
a9,a39,19
a9,a40,728
a9,a41,1009
a9,a42,770
a9,a43,489
a9,a44,822
a9,a45,524
a9,a46,416
